sentid	len	stage	elapsedtime	logprob	frags	numitems	golditems	totalgolditems
184	21	dop	1.3370299999999133	-116.79255668023497	24	157407	55	55
185	15	dop	0.5235700000000634	-96.61752257683416	19	83849	40	40
186	25	dop	2.4879980000000614	-140.48408592962318	36	229337	61	61
187	16	dop	0.7493039999999382	-92.5567612369166	19	112228	43	43
188	21	dop	1.6969850000000406	-129.6552200916452	25	189323	54	54
189	25	dop	2.9419819999998253	-153.15787181378838	36	261933	63	63
190	15	dop	0.6373100000000704	-97.03736594203284	16	96378	38	38
191	27	dop	4.492030999999997	-163.45929031462603	29	334181	75	75
192	21	dop	1.5702289999999266	-135.72186359369152	30	185396	53	53
193	14	dop	0.5150760000001355	-93.85163042580785	17	89148	37	37
194	20	dop	1.4159350000002178	-120.20204730820275	19	169949	54	54
195	19	dop	1.57764700000007	-104.03460456202886	18	183367	49	49
196	19	dop	1.510719999999992	-120.86230856630198	23	181551	48	48
197	23	dop	2.770522000000028	-141.28583954396112	24	239428	66	66
198	29	dop	8.023963999999978	-182.10002981422141	28	448984	74	74
199	30	dop	6.9423649999998815	-192.13713772544534	41	408957	86	86
200	20	dop	1.4957070000000385	-124.51911981775497	23	171786	54	54
201	15	dop	0.48878000000013344	-78.95208577723781	21	80059	40	40
202	18	dop	0.9676680000000033	-102.5718392531237	19	134817	50	50
203	8	dop	0.08918100000005325	-53.739815132368214	10	18551	21	21
204	15	dop	0.5864599999999882	-95.46821354480174	18	97687	38	38
205	15	dop	0.5770869999998922	-85.14752730553516	17	93543	45	45
206	8	dop	0.14269899999999325	-47.198369164419	10	32531	20	20
207	7	dop	0.11635300000011739	-48.818549393220636	10	26099	22	22
208	9	dop	0.17107399999986228	-57.8029271718551	11	37751	24	24
209	39	dop	14.306781999999885	-217.55619120322558	53	591133	91	91
210	8	dop	0.1441219999999248	-44.91936145911835	9	29909	21	21
211	7	dop	0.07274899999993067	-40.996970787021034	10	15300	19	19
212	20	dop	1.8483229999999367	-140.20000707235488	28	200048	54	54
213	18	dop	1.1633600000000115	-110.11214769409686	20	139600	50	50
214	6	dop	0.06098199999996723	-28.26877632478422	6	11463	16	16
215	11	dop	0.28320500000018	-57.82865226694575	14	53566	31	31
216	14	dop	0.5904019999998127	-68.5586452560725	11	93210	36	36
217	9	dop	0.1464779999998882	-50.4947606530339	12	30489	24	24
218	24	dop	2.819972999999891	-121.11975727596196	24	243448	62	62
219	6	dop	0.06380500000000211	-36.37103059019312	9	10582	15	15
220	24	dop	4.219129000000066	-169.4605281312222	31	315708	61	61
221	9	dop	0.07981800000015937	-24.72326416803833	4	11310	22	22
222	7	dop	0.13636399999995774	-44.16371985225077	8	26052	18	18
223	11	dop	0.31953599999997095	-66.10406462164678	14	55858	29	29
224	6	dop	0.05301199999985329	-28.882550929442818	6	10533	16	16
225	17	dop	1.2214349999999286	-91.6012793394973	16	152205	43	43
226	35	dop	13.6008139999999	-225.84747198966227	44	573712	90	90
227	15	dop	0.4725869999999759	-93.59154630687752	17	79521	42	42
228	29	dop	8.321566999999959	-177.425895724266	37	446077	75	75
229	6	dop	0.06300200000009681	-38.60856009727881	9	12259	16	16
230	34	dop	7.864720999999918	-219.0112193375611	49	418748	85	85
231	13	dop	0.4809779999998227	-72.55209701090753	15	82558	33	33
232	12	dop	0.37248700000009194	-73.39676245593566	16	67479	30	30
233	8	dop	0.09103100000015729	-55.264799646652364	13	14603	20	20
234	17	dop	1.2565890000000763	-96.17503607775541	18	147511	44	44
235	10	dop	0.20128999999997177	-63.64583637620639	12	43649	27	27
236	6	dop	0.06048599999985527	-39.44337539775368	8	12767	17	17
237	10	dop	0.1659829999998692	-75.72100742391801	12	36864	27	27
