sentid	len	stage	elapsedtime	logprob	frags	numitems	golditems	totalgolditems
112	9	dop	0.0871620000000064	-49.45513242478995	13	26229	25	25
113	7	dop	0.07034500000000321	-39.329441825301544	8	22672	18	18
114	14	dop	0.3537800000000004	-107.91081197093875	22	73298	38	38
115	20	dop	0.7900599999999969	-112.68522574598202	21	124510	57	57
116	20	dop	0.8352859999999964	-134.62621295205233	26	129300	54	54
117	11	dop	0.15351900000000285	-73.19772595378183	12	41078	32	32
118	12	dop	0.16443100000000754	-85.42480485571564	16	41167	34	34
119	10	dop	0.1259289999999993	-73.33948462315882	12	35755	26	26
120	9	dop	0.09176599999999269	-45.82956942613288	10	30060	23	23
121	14	dop	0.2774339999999995	-79.71989548990294	15	61922	40	40
122	10	dop	0.08542899999999065	-63.360856364018595	13	26149	31	31
123	10	dop	0.1430909999999983	-68.49473283434835	14	39915	28	28
124	15	dop	0.34143100000000004	-92.96571813528965	21	74087	38	38
125	19	dop	0.6420140000000032	-89.0348666425831	17	106732	49	49
126	7	dop	0.04783899999999619	-48.413504879289654	9	15929	19	19
127	6	dop	0.03567300000000273	-42.76107235537792	8	11124	18	18
128	7	dop	0.04828899999999692	-40.114722586155416	8	15951	21	21
129	15	dop	0.19816499999998882	-104.48192798477339	26	49813	38	38
130	6	dop	0.038912000000010494	-36.224646958070636	7	14285	17	17
131	8	dop	0.07514100000000212	-59.89138440139372	10	23563	22	22
132	15	dop	0.292152999999999	-113.95125092621461	24	64460	41	41
133	14	dop	0.29223899999999503	-84.33560859453588	20	64891	39	39
134	7	dop	0.06447200000000919	-44.82067343564618	10	22314	18	18
135	4	dop	0.02125100000000657	-33.409892775505696	6	5669	14	14
136	17	dop	0.5023149999999958	-95.4573599346156	19	92192	48	48
137	21	dop	0.9369670000000099	-119.77579004881659	26	132771	57	57
138	20	dop	0.8419810000000041	-120.99655486391623	24	126056	57	57
139	7	dop	0.04760699999999929	-44.37547249625055	10	14703	18	18
140	8	dop	0.05093500000000972	-63.40005198575425	17	15162	25	25
141	16	dop	0.4142999999999972	-91.96201187594531	17	84944	45	45
142	9	dop	0.09164199999999312	-60.724637041992736	12	29890	26	26
143	8	dop	0.06215100000000007	-41.91348083391722	10	19555	23	23
144	8	dop	0.08138999999999896	-23.33582560305528	6	22432	22	22
145	38	dop	9.671881999999997	-220.5566416628204	50	480412	104	104
146	15	dop	0.2769300000000072	-94.64045021094856	25	63566	39	39
147	27	dop	2.7507030000000015	-160.21059090188047	32	241922	78	78
148	9	dop	0.047789999999992006	-48.00813544475826	11	16300	28	28
149	8	dop	0.05505600000000754	-50.00529286650787	12	17110	24	24
150	11	dop	0.12181400000000053	-73.65798112821372	15	33756	30	30
151	18	dop	0.5834950000000134	-89.6803017888268	19	106413	50	50
152	24	dop	1.5661270000000087	-137.37342552944747	32	181837	69	69
153	15	dop	0.38472199999999646	-83.662417408256	18	71182	38	38
154	7	dop	0.0493370000000084	-34.10996881423833	6	16663	20	20
155	21	dop	0.9261559999999918	-119.26119539924596	23	135578	61	61
156	20	dop	1.008892000000003	-98.80309905821686	21	140798	53	53
157	16	dop	0.5230859999999922	-105.84710234942483	22	94432	45	45
158	6	dop	0.039450000000002206	-38.99489511370556	7	13606	16	16
159	15	dop	0.19006600000000162	-84.18713949858919	22	49682	43	43
160	22	dop	1.3873480000000171	-123.1443631712956	25	176534	59	59
161	21	dop	1.097818999999987	-128.82052398394381	25	153824	55	55
162	23	dop	1.2409660000000144	-141.79231714041046	31	165589	58	58
163	11	dop	0.12099100000000362	-80.97490095651523	15	33588	30	30
164	10	dop	0.11222399999999766	-63.6168535326407	11	32688	30	30
165	22	dop	1.1410809999999856	-127.98653983904873	26	151943	61	61
166	15	dop	0.3441540000000032	-79.26859739257323	20	72356	41	41
167	15	dop	0.34560600000000363	-100.3369219392514	20	74308	41	41
168	18	dop	0.5392520000000047	-112.27503274103547	25	100110	48	48
169	21	dop	1.1478050000000053	-115.22694783252412	21	157540	52	52
170	17	dop	0.4063229999999862	-113.98247798628712	21	83869	49	49
171	18	dop	0.7169900000000098	-116.01729176982836	24	118598	52	52
172	17	dop	0.5678859999999872	-98.29669983757421	19	104698	45	45
173	23	dop	1.1443989999999928	-126.54342110456167	26	152065	67	67
174	16	dop	0.3502369999999928	-109.33219632129371	19	74018	44	44
175	20	dop	0.5764240000000029	-104.89179509579904	29	97679	53	53
176	51	dop	30.263226000000003	-313.618756685353	59	840509	140	140
177	18	dop	0.5992840000000115	-103.26840071270888	22	104359	50	50
178	18	dop	0.6839370000000145	-104.1557567804174	24	115872	51	51
179	49	dop	31.22806300000002	-308.8164452401656	60	880060	131	131
180	26	dop	2.270807000000019	-163.5989522846999	31	226731	70	70
181	12	dop	0.23746099999999615	-84.06152094577882	17	57232	31	31
182	46	dop	21.026292000000012	-294.1575010406456	64	721208	123	123
183	27	dop	2.4939740000000086	-151.38018671867104	31	246291	70	70
184	12	dop	0.14658099999999763	-81.22872967300404	15	41993	37	37
185	16	dop	0.3714650000000006	-95.44071744224124	19	73116	43	43
186	21	dop	0.8474460000000192	-124.14084791445939	24	126267	61	61
187	23	dop	1.4989710000000116	-125.74763824402082	28	183073	63	63
188	42	dop	15.61457900000002	-237.73462937815984	56	603916	110	110
189	22	dop	0.9171729999999911	-106.09785667383467	22	129882	63	63
190	12	dop	0.14263500000001272	-61.83855522429583	17	38150	32	32
191	16	dop	0.3730639999999994	-99.71286489566243	18	76940	44	44
192	28	dop	2.733711999999997	-168.27311155917124	37	246267	75	75
193	16	dop	0.33654099999998266	-87.96400284310484	19	73527	45	45
194	19	dop	0.8021129999999914	-122.52596300732098	22	125739	53	53
195	26	dop	2.137901999999997	-166.0738694970389	35	224149	71	71
196	13	dop	0.1776660000000163	-79.25749663212488	17	48911	35	35
197	17	dop	0.481679999999983	-110.52427377616569	27	91293	48	48
198	15	dop	0.40244200000000774	-114.0584281450612	24	83100	43	43
199	21	dop	1.1359969999999748	-126.99801073389179	24	154729	54	54
200	12	dop	0.14026100000000952	-82.48321580084372	15	39325	36	36
201	21	dop	0.7855979999999931	-115.31608288778412	25	124611	59	59
202	15	dop	0.3482869999999707	-78.25663682009082	15	77540	41	41
